id;FormFieldInstance_id;comment
0;88;According to the result the value is out of range please review. (40.3 - 74.8)
1;92;According to the result the value is out of range please review. (45.0 - 110)
2;116;According to the result the value is out of range please review. (1820.0 - 7150.0)
3;120;According to the result the value is out of range please review. (1820.0 - 7150.0)
4;124;According to the result the value is out of range please review. (190.0 - 770.0)
5;128;According to the result the value is out of range please review. (30.0 - 440.0)
6;10034;According to the result the value is out of range please review. (45.0 - 110)
7;10074;According to the result the value is out of range please review. (10.0 - 50.0 )
8;10215;According to the result the value is out of range please review. (45.0 - 110)
9;10255;According to the result the value is out of range please review. (10.0 - 50.0 )
10;10579;According to the result the value is out of range please review. (45.0 - 110)
11;10619;According to the result the value is out of range please review. (10.0 - 50.0 )
12;10954;According to the result the value is out of range please review. (45.0 - 110)
13;10994;According to the result the value is out of range please review. (10.0 - 50.0 )
14;11419;According to the result the value is out of range please review. (45.0 - 110)
15;11459;According to the result the value is out of range please review. (10.0 - 50.0 )
16;12598;According to the result the value is out of range please review. (45.0 - 110)
17;12638;According to the result the value is out of range please review. (10.0 - 50.0 )
18;12686;According to the result the value is out of range please review. (45.0 - 110)
19;13050;According to the result the value is out of range please review. (45.0 - 110)
20;13425;According to the result the value is out of range please review. (45.0 - 110)
21;13465;According to the result the value is out of range please review. (10.0 - 50.0 )
22;13890;According to the result the value is out of range please review. (45.0 - 110)
23;13930;According to the result the value is out of range please review. (10.0 - 50.0 )
24;14976;According to the result the value is out of range please review. (45.0 - 110)
25;15016;According to the result the value is out of range please review. (10.0 - 50.0 )
26;15157;According to the result the value is out of range please review. (45.0 - 110)
27;15197;According to the result the value is out of range please review. (10.0 - 50.0 )
28;15521;According to the result the value is out of range please review. (45.0 - 110)
29;15896;According to the result the value is out of range please review. (45.0 - 110)
30;15936;According to the result the value is out of range please review. (10.0 - 50.0 )
31;16338;According to the result the value is out of range please review. (45.0 - 110)
32;201;According to the result the value is out of range please review. (64.0 - 83.0)
33;11051;According to the result the value is out of range please review. (3.5 - 4.5)
34;11063;According to the result the value is out of range please review. (64.0 - 83.0)
35;11528;According to the result the value is out of range please review. (64.0 - 83.0)
36;13534;According to the result the value is out of range please review. (64.0 - 83.0)
37;13987;According to the result the value is out of range please review. (3.5 - 4.5)
38;13999;According to the result the value is out of range please review. (64.0 - 83.0)
39;15993;According to the result the value is out of range please review. (3.5 - 4.5)
40;16005;According to the result the value is out of range please review. (64.0 - 83.0)
41;16447;According to the result the value is out of range please review. (64.0 - 83.0)
42;997;Only at Screening
